iter	RMSE
246	1.90633841
247	1.904798536
248	1.903435389
249	1.902461604
250	1.900854615
251	1.898702644
252	1.897754369
253	1.89687463
254	1.895403158
255	1.894424414
256	1.89281469
257	1.891584085
258	1.890856202
259	1.889797455
260	1.887931276
261	1.886543777
262	1.884944112
263	1.88348107
264	1.882651895
265	1.881989208
266	1.88033985
267	1.880107135
268	1.878038969
269	1.876627069
270	1.876404301
271	1.876317415
272	1.874454844
273	1.874387134
274	1.872331413
275	1.872272994
276	1.870531282
277	1.869861104
278	1.868249248
279	1.867328227
280	1.866604606
281	1.865348851
282	1.864084191
283	1.864017099
284	1.861670284
285	1.860455702
286	1.858793433
287	1.857820023
288	1.856434461
289	1.853933269
290	1.85349628
291	1.852849807
292	1.850504444
293	1.84978875
294	1.848802275
295	1.847057907
296	1.845453817
297	1.84376606
298	1.841526992
299	1.840648601
300	1.839176016
301	1.839050593
302	1.83710216
303	1.836692858
304	1.836188283
305	1.835819494
306	1.835212635
307	1.834713564
308	1.834538438
309	1.833925926
310	1.832303741
311	1.830933135
312	1.829445453
313	1.827666484
314	1.827168821
315	1.826315077
316	1.825839472
317	1.825788583
318	1.824283731
319	1.824195678
320	1.824111832
321	1.822562965
322	1.8225252
323	1.820795948
324	1.82019641
325	1.818454233
326	1.817435929
327	1.815645778
328	1.813804133
329	1.812050388
330	1.811320148
331	1.810969926
332	1.810470859
333	1.810084341
334	1.809416359
335	1.808442594
336	1.806709151
337	1.804921699
338	1.804865142
339	1.804775175
340	1.802786988
341	1.800674394
342	1.799544542
343	1.798800128
344	1.797543514
345	1.796662593
346	1.796598438
347	1.794990755
348	1.794152922
349	1.792325435
350	1.791105985
351	1.789834516
352	1.788717264
353	1.787719289
354	1.785709901
355	1.78559764
356	1.783758783
357	1.782564165
358	1.780844059
359	1.780504676
360	1.779243753
361	1.777845267
362	1.777363272
363	1.77693084
364	1.776883565
365	1.775750336
366	1.775485362
367	1.774712148
368	1.773124471
369	1.771914876
370	1.76984829
371	1.767927759
372	1.767225296
373	1.766255161
374	1.765826909
375	1.764446193
376	1.762602399
377	1.76153271
378	1.760295448
379	1.760253207
380	1.758535649
381	1.75756314
382	1.755704081
383	1.75481118
384	1.754260208
385	1.752986706
386	1.751389003
387	1.751313351
388	1.749877864
389	1.749754303
390	1.748798335
391	1.747138965
392	1.74674753
393	1.745348692
394	1.744838299
395	1.743116159
396	1.741682917
397	1.740175077
398	1.740138163
399	1.738903236
400	1.738273121
401	1.737536182
402	1.736617318
403	1.735314585
404	1.734401449
405	1.733836661
406	1.732622179
407	1.732572111
408	1.73101664
409	1.73098137
410	1.729508204
411	1.729177433
412	1.729139141
413	1.728277988
414	1.727304548
415	1.727052944
416	1.725356212
417	1.724041919
418	1.723952048
419	1.723613029
420	1.723587653
421	1.72348125
422	1.722180466
423	1.720734614
424	1.719911604
425	1.718970188
426	1.718633926
427	1.717513981
428	1.716384755
429	1.714581946
430	1.713621511
431	1.712857722
432	1.712833474
433	1.711536366
434	1.710592545
435	1.709652359
436	1.708190528
437	1.70796236
438	1.706695212
439	1.705586289
440	1.705561376
441	1.704698623
442	1.703802492
443	1.70262679
444	1.702011541
445	1.7016167
446	1.70000144
447	1.699550157
448	1.698536671
449	1.697980626
450	1.697803697
451	1.697209749
452	1.696552943
453	1.695016422
454	1.694083367
455	1.692481817
456	1.69245355
457	1.691349107
458	1.690773587
459	1.689731496
460	1.689349117
461	1.688024345
462	1.6875694
463	1.686700616
464	1.685971823
465	1.685948168
466	1.685012597
467	1.683966845
468	1.683944618
469	1.682975931
470	1.682711605
471	1.682222685
472	1.681164362
473	1.681034593
474	1.680060396
475	1.680038642
476	1.678734909
477	1.67869458
478	1.678601927
479	1.676982342
480	1.676667137
481	1.676555678
482	1.676534867
483	1.676515537
484	1.675745354
485	1.674756499
486	1.674711142
487	1.674374309
488	1.674227395
489	1.673620926
490	1.673579196
491	1.673411042
492	1.673324373
493	1.673307008
494	1.672787871
495	1.672193212
496	1.671500211
497	1.671473356
498	1.670263242
499	1.669450282
500	1.668758481
501	1.668001449
502	1.666746842
503	1.665230257
504	1.663950736
505	1.663273312
506	1.662030345
507	1.661154329
508	1.661133381
509	1.661120903
510	1.660431068
511	1.659349545
512	1.658775196
513	1.657812612
514	1.657780514
515	1.656384984
516	1.656012688
517	1.654678516
518	1.65352081
519	1.652452563
520	1.651962841
521	1.650978286
522	1.650580218
523	1.64926281
524	1.64810699
525	1.647811968
526	1.647719737
527	1.647693211
528	1.647286126
529	1.646522393
530	1.645523922
531	1.645234035
532	1.643871895
533	1.642981785
534	1.642383434
535	1.641789031
536	1.641778344
537	1.640580034
538	1.639972422
539	1.63996375
540	1.63947882
541	1.638300041
542	1.637961974
543	1.637912502
544	1.637216671
545	1.636460048
546	1.63582246
547	1.635789722
548	1.635495833
549	1.634632517
550	1.633292434
551	1.632584029
552	1.630977997
553	1.630506255
554	1.629141756
555	1.62842012
556	1.627578329
557	1.626191469
558	1.625573607
559	1.624692173
560	1.623828182
561	1.622577482
562	1.621461827
563	1.620806619
564	1.62079593
565	1.619718784
566	1.618559844
567	1.617511289
568	1.616785547
569	1.616502389
570	1.61630201
571	1.615529869
572	1.614899862
573	1.614403081
574	1.613344768
575	1.613333617
576	1.612226958
577	1.611786038
578	1.610412354
579	1.60985909
580	1.608435559
581	1.607866461
582	1.60751365
583	1.60703323
584	1.60633514
585	1.605920344
586	1.605229284
587	1.604290216
588	1.6042633
589	1.604250611
590	1.603635413
591	1.60318093
592	1.602114166
593	1.60210145
594	1.601070088
595	1.599724676
596	1.599490939
597	1.599069373
598	1.598908789
599	1.597604732
600	1.596714706
601	1.59584847
602	1.594719946
603	1.594119109
604	1.592938227
605	1.592879984
606	1.591801105
607	1.591161793
608	1.589889032
609	1.58963878
610	1.589070848
611	1.589000408
612	1.588674266
613	1.588066892
614	1.587166834
615	1.587051138
616	1.585577342
617	1.58526803
618	1.584673919
619	1.584292825
620	1.584179607
621	1.583232739
622	1.581981156
623	1.58143952
624	1.580989248
625	1.580418899
626	1.579867383
627	1.579182388
628	1.579176129
629	1.578949138
630	1.578515239
631	1.577415412
632	1.576972316
633	1.576154573
634	1.576012756
635	1.575750922
636	1.574640843
637	1.573780128
638	1.572426208
639	1.571122752
640	1.5710536
641	1.570336009
642	1.56919847
643	1.568781657
644	1.568469802
645	1.567929554
646	1.567106543
647	1.566892507
648	1.565593315
649	1.564472309
650	1.56335092
651	1.562020375
652	1.561651199
653	1.561238127
654	1.56044839
655	1.560017783
656	1.559818503
657	1.559268878
658	1.558923199
659	1.558369177
660	1.558200376
661	1.557410077
662	1.556876696
663	1.555928697
664	1.555916791
665	1.555741763
666	1.554790859
667	1.55429692
668	1.552999797
669	1.552668332
670	1.551831628
671	1.551818646
672	1.550980365
673	1.550169096
674	1.54960924
675	1.549106243
676	1.548585089
677	1.547504571
678	1.546588611
679	1.545274397
680	1.545091236
681	1.544481214
682	1.544264706
683	1.544053417
684	1.542992022
685	1.541653019
686	1.540609243
687	1.540187925
688	1.53961539
689	1.539152371
690	1.539073055
691	1.538936366
692	1.538838567
693	1.537658569
694	1.537255155
695	1.535926785
696	1.535649828
697	1.535203897
698	1.534253477
699	1.534037634
700	1.533519335
701	1.532866261
702	1.531758175
703	1.53054829
704	1.530511951
705	1.530289189
706	1.529644583
707	1.529324795
708	1.528942531
709	1.527888118
710	1.527310947
711	1.526428239
712	1.525724515
713	1.525583984
714	1.524873645
715	1.524117472
716	1.523283723
717	1.522945451
718	1.522627329
719	1.522241962
720	1.521561398
721	1.520693466
722	1.51980351
723	1.51908006
724	1.518125005
725	1.517882932
726	1.517520546
727	1.517017004
728	1.51673083
729	1.515812312
730	1.514642082
731	1.514497238
732	1.513582562
733	1.512763124
734	1.511758907
735	1.511089966
736	1.510697732
737	1.510351975
738	1.509576627
739	1.508590938
740	1.508301409
741	1.507995543
742	1.507333008
743	1.506481194
744	1.505350755
745	1.504056703
746	1.503143812
747	1.502015204
748	1.501129676
749	1.5004639
750	1.49959373
751	1.498996299
752	1.498137881
753	1.496984391
754	1.496257305
755	1.496109082
756	1.495673103
757	1.495184246
758	1.494954915
759	1.493452594
760	1.493191535
761	1.492610351
762	1.492395297
763	1.49139745
764	1.490800574
765	1.489628904
766	1.489352265
767	1.488317517
768	1.487257284
769	1.487042378
770	1.486345616
771	1.485454906
772	1.485149956
773	1.484692418
774	1.484306626
775	1.483324832
776	1.482090865
777	1.481160867
778	1.479954676
779	1.478808366
780	1.478539545
781	1.478111787
782	1.477915322
783	1.47749395
784	1.476934316
785	1.475883235
786	1.474666977
787	1.474283381
788	1.473434657
789	1.473004029
790	1.472892221
791	1.4724359
792	1.471990131
793	1.47182025
794	1.471514845
795	1.470590267
796	1.470139997
797	1.469134779
798	1.468018415
799	1.467750594
800	1.467141671
801	1.466524228
802	1.46593047
803	1.465681194
804	1.465164949
805	1.464525851
806	1.463974934
807	1.463587697
808	1.463226878
809	1.462221215
810	1.461672483
811	1.461251677
812	1.459976095
813	1.459621367
814	1.459257342
815	1.458233425
816	1.457900159
817	1.45750998
818	1.456608897
819	1.456418017
820	1.455997543
821	1.455508975
822	1.454780174
823	1.454100015
824	1.45349524
825	1.453263045
826	1.452614177
827	1.452320976
828	1.45150035
829	1.450808531
830	1.449798426
831	1.449035663
832	1.448602272
833	1.448451236
834	1.448280529
835	1.448110723
836	1.44743552
837	1.44729341
838	1.44706936
839	1.446895186
840	1.445860327
841	1.444909079
842	1.444194081
843	1.443378999
844	1.442401633
845	1.441925443
846	1.440899911
847	1.44032766
848	1.439178393
849	1.438705973
850	1.437800788
851	1.437157098
852	1.437146013
853	1.436184452
854	1.436157014
855	1.435461473
856	1.434738996
857	1.434102215
858	1.433719689
859	1.432985765
860	1.432623682
861	1.432381216
862	1.43152471
863	1.431515038
864	1.430732297
865	1.430087748
866	1.429638905
867	1.428716735
868	1.428502194
869	1.427779823
870	1.426962765
871	1.426022838
872	1.425805948
873	1.424843641
874	1.424455656
875	1.42399149
876	1.423849299
877	1.423633784
878	1.42347226
879	1.422937025
880	1.421734519
881	1.421610456
882	1.420953951
883	1.419761183
884	1.419109282
885	1.418259035
886	1.41742807
887	1.416712996
888	1.416037496
889	1.415076658
890	1.41452317
891	1.413738863
892	1.41354705
893	1.412893868
894	1.412234082
895	1.412064756
896	1.411498691
897	1.411005608
898	1.410233228
899	1.409821599
900	1.409004064
901	1.408555495
902	1.407662154
903	1.40742681
904	1.407208869
905	1.40647201
906	1.405954716
907	1.405544419
908	1.404801103
909	1.403931274
910	1.403360956
911	1.4028697
912	1.402192
913	1.402183746
914	1.402085057
915	1.402023643
916	1.401401765
917	1.401067467
918	1.401036431
919	1.400667616
920	1.400481463
921	1.39979263
922	1.399660967
923	1.399025646
924	1.398686909
925	1.398017727
926	1.397859936
927	1.397606848
928	1.397490271
929	1.396946008
930	1.396770696
931	1.396650292
932	1.396297548
933	1.396147411
934	1.395528904
935	1.395433991
936	1.395034544
937	1.39469944
938	1.39363113
939	1.393586087
940	1.393402873
941	1.392748426
942	1.392334894
943	1.391745784
944	1.390827878
945	1.390630625
946	1.39061049
947	1.389973401
948	1.389166026
949	1.388955911
950	1.388081054
951	1.387294106
952	1.386552821
953	1.38613407
954	1.385411076
955	1.384406753
956	1.384328486
957	1.384219615
958	1.384108077
959	1.383316981
960	1.382835291
961	1.381999883
962	1.381408651
963	1.380490615
964	1.38014245
965	1.378769751
966	1.37814825
967	1.377287792
968	1.376852518
969	1.376844905
970	1.376275301
971	1.376203035
972	1.375723898
973	1.375226651
974	1.375013965
975	1.374934504
976	1.374604396
977	1.374364415
978	1.373835465
979	1.373516377
980	1.373110927
981	1.372852725
982	1.372639385
983	1.372153328
984	1.371957967
985	1.371513472
986	1.370868726
987	1.370586855
988	1.370114719
989	1.369095809
990	1.368639983
991	1.367932547
992	1.367376252
993	1.366753811
994	1.366233778
995	1.366028261
996	1.365216102
997	1.364496908
998	1.364001459
999	1.363239307
